new_vendor,total_sales_revenue,,,
Biagio Cru And Estate Wines LLC,"$5,856.72 ",,,
"Palm Bay Imports, Inc.","$5,807.83 ",,,
Patriarch Distillers,"$5,509.52 ",,,
National Brokers,"$5,489.64 ",,,
"Russian Standard Vodka, USA","$5,400.00 ",,,
Total Beverage Solutions,"$5,335.22 ",,,
"Chatham Imports,inc","$5,145.39 ",,,
Few Spirits LLC,"$5,126.82 ",,,
Veev Spirits LLC,"$4,998.00 ",,,
Stanley Stawski Distributing Co.,"$4,731.00 ",,,
Honey Creek Distillery,"$4,674.32 ",,,
Artisan Grain Distillery,"$4,638.44 ",,,
Modern Spirits,"$4,089.78 ",,,
Clear Creek Distillery,"$3,879.36 ",,,
"ASDSpirits, LLC","$3,860.40 ",,,
"WILDMAN AND SONS, F.","$3,825.73 ",,,
Prairie Creek Beverages LLC,"$3,768.00 ",,,
"International Beverage Co., Inc.","$3,703.59 ",,,
"M.S. Walker, Inc.","$3,574.64 ",,,
Winebow Inc.,"$3,360.96 ",,,
Stephen Augustus Imports,"$3,342.00 ",,,
Stern Beverage,"$3,315.00 ",,,
Evaton Inc.,"$3,139.98 ",,,
Hillrock Estate Distillery LLC,"$3,112.80 ",,,
Wine Intelligence,"$3,106.80 ",,,
The Wine Group,"$3,037.50 ",,,
maDIKwe USA Inc.,"$2,868.89 ",,,
Marsalle Company/Stoller Warehouse,"$2,809.08 ",,,
Kindred Spirits Of North America,"$2,707.50 ",,,
Seashore Marketing Group,"$2,600.64 ",,,
Park Street - Berentzen,"$2,577.54 ",,,
LEVECKE CORP,"$2,568.46 ",,,
The Country Vintner,"$2,563.92 ",,,
Park Street Imports- Caballeros,"$2,432.34 ",,,
International Beverage Holdings USA,"$2,303.40 ",,,
Itsko Imports Inc,"$2,058.32 ",,,
Surville Enterprises Corp,"$1,999.56 ",,,
"Whyte and Machay(Americas) Limited,L","$1,680.72 ",,,
High West Distillery LLC,"$1,624.86 ",,,
Park Street Imports LLC Voli,"$1,611.96 ",,,
Levecke Corp,"$1,370.88 ",,,
H A P LLC,"$1,330.80 ",,,
"Werner Distilling, LLC","$1,301.43 ",,,
Impex Beverages Inc,"$1,224.24 ",,,
North Shore Distillery LLC.,"$1,173.36 ",,,
Square One Organic Spirits,"$1,134.00 ",,,
Jomada Imports LLC.,"$1,123.44 ",,,
"TY KU, LLC","$1,083.57 ",,,
Park Street Imports-Tanteo,"$1,067.76 ",,,
"Dreyfus, Ashby Co.","$1,004.10 ",,,
Firestarter Spirits Inc.,$994.14 ,,,
Cooper's Chase Distillery,$805.53 ,,,
"North Shore Distillery, LLC.",$780.24 ,,,
BuzzBox Beverages,$687.36 ,,,
Domaine Charbay,$597.00 ,,,
Park Street Imports LLC House Spiri,$582.24 ,,,
Leatherbee Distillers,$567.12 ,,,
CVI Brands,$560.88 ,,,
Liquor Group Wholesale,$537.06 ,,,
"Speakeasy Spirits, LLC",$533.02 ,,,
Woody Creek Distillers,$477.18 ,,,
Ti Beverage Group Ltd,$462.00 ,,,
"maDIKwe USA, Inc.",$382.58 ,,,
St. George Spirit Inc,$377.88 ,,,
Fire Tail Brands Llc,$364.32 ,,,
Campari,$360.48 ,,,
Pacific Edge Wine & Spirits,$343.56 ,,,
San Luis Spirits Inc.,$273.12 ,,,
Intersect Beverage LLC,$265.68 ,,,
"Klin Spirits, LLC",$260.13 ,,,
Boston Beer Company,$237.92 ,,,
Phenix Brands LLC,$233.28 ,,,
Bendistillery,$221.40 ,,,
Vodquila LLC,$213.12 ,,,
"A Hardy / U.S.A., Ltd.",$206.55 ,,,
Dry Fly Distilling,$196.56 ,,,
"Carriage House Imports, Ltd.",$151.50 ,,,
Carriage House Imports Ltd.,$151.50 ,,,
Broadslab Distillery,$124.38 ,,,
Adamba Imports Int'l Inc.,$107.88 ,,,
